def(__MINT__),
def(FEAT_TERMRESPONSE),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(WSDEBUG_SENSE),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&(def(__MINT__)|def(HPUX_DIGRAPHS)|!def(EBCDIC))),
!def(FEAT_GUI_W32),
!def(INET_SOCKETS),
def(WIN32),
def(WSDEBUG),
def(DEBUG),
def(FEAT_PROFILE),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(FEAT_JOB_CHANNEL),
!def(FEAT_GUI_GTK),
def(FEAT_BEVAL_GUI),
def(FEAT_RIGHTLEFT),
!def(UNIX),
def(WSDEBUG_TRACE),
def(FEAT_TOOLBAR),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&def(EBCDIC)),
def(JUMPLIST_ROTATE),
def(FEAT_GUI_W32),
def(UNIX),
def(INET_SOCKETS),
True,
def(LESSTIF_VERSION),
(def(HPUX_DIGRAPHS)&!def(__MINT__)),
def(_WIN32),
def(FEAT_MBYTE),
def(MAIN),
def(PROTO),
!def(FEAT_PROFILE),
def(FEAT_FKMAP),
def(FEAT_SUN_WORKSHOP),
def(NBDEBUG),
