!def(INET_SOCKETS),
(def(HPUX_DIGRAPHS)&!def(__MINT__)),
def(NBDEBUG),
!def(FEAT_PROFILE),
def(WSDEBUG),
!def(FEAT_GUI_GTK),
def(FEAT_GUI_W32),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
!def(FEAT_GUI_W32),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&(def(__MINT__)|def(HPUX_DIGRAPHS)|!def(EBCDIC))),
def(FEAT_BEVAL_GUI),
def(FEAT_SUN_WORKSHOP),
def(__MINT__),
def(PROTO),
def(DEBUG),
def(JUMPLIST_ROTATE),
def(FEAT_TOOLBAR),
def(WSDEBUG_SENSE),
def(FEAT_TERMRESPONSE),
True,
def(WSDEBUG_TRACE),
def(INET_SOCKETS),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&def(EBCDIC)),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(LESSTIF_VERSION),
def(FEAT_JOB_CHANNEL),
def(_WIN32),
def(FEAT_PROFILE),
def(WIN32),
def(MAIN),
