!def(FEAT_MBYTE),
!def(NO_CONSOLE),
def(WSDEBUG_TRACE),
def(FEAT_SUN_WORKSHOP),
def(FEAT_TOOLBAR),
def(WSDEBUG_SENSE),
def(RISCOS),
def(FEAT_GUI_GTK),
def(LESSTIF_VERSION),
!def(PROTO),
def(NBDEBUG),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(FEAT_FKMAP),
def(EBCDIC),
!def(FEAT_GUI_W32),
def(FEAT_TERMRESPONSE),
def(FEAT_GUI_W32),
def(MCH_WRITE_DUMP),
True,
def(WSDEBUG),
def(FEAT_MBYTE),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
!def(EBCDIC),
def(__BORLANDC__),
!def(FEAT_GUI_GTK),
def(FEAT_BEVAL),
!def(FEAT_BEVAL),
def(PROTO),
!def(RISCOS),
def(DEBUG),
def(FEAT_GUI),
def(JUMPLIST_ROTATE),
