!def(NO_CONSOLE),
def(WSDEBUG_SENSE),
!def(RISCOS),
(!def(FEAT_BEVAL)&def(FEAT_TOOLBAR)),
def(FEAT_BEVAL),
def(FEAT_TERMRESPONSE),
(!def(FEAT_BEVAL)&def(FEAT_MBYTE_IME)),
def(FEAT_TOOLBAR),
(def(FEAT_GUI_GTK)&def(FEAT_BEVAL)),
!def(EBCDIC),
def(WSDEBUG_TRACE),
def(FEAT_DND),
True,
def(FEAT_GUI),
def(LESSTIF_VERSION),
def(EBCDIC),
def(FEAT_GUI_W32),
(!def(PROTO)&!def(__BORLANDC__)),
!def(FEAT_GUI_W32),
(def(FEAT_BEVAL)&!def(FEAT_GUI_GTK)&(!def(FEAT_GUI_GTK)|!def(FEAT_BEVAL))),
(!def(FEAT_BEVAL)&def(NOIME)),
