!def(INET_SOCKETS),
!def(FEAT_GUI_GTK),
def(JUMPLIST_ROTATE),
!def(FEAT_MBYTE),
def(NBDEBUG),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(FEAT_GUI_GTK),
!def(FEAT_GUI_W32),
def(FEAT_MBYTE),
def(FEAT_GUI_W32),
!def(PROTO),
def(FEAT_TOOLBAR),
def(FEAT_SUN_WORKSHOP),
def(FEAT_GUI),
def(DEBUG),
!def(NO_CONSOLE),
def(MCH_WRITE_DUMP),
!def(FEAT_RIGHTLEFT),
def(INET_SOCKETS),
def(WSDEBUG_SENSE),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(PROTO),
def(WSDEBUG_TRACE),
def(__BORLANDC__),
def(FEAT_CLIPBOARD),
def(FEAT_RIGHTLEFT),
!def(FEAT_BEVAL),
def(WSDEBUG),
def(FEAT_BEVAL),
def(FEAT_TERMRESPONSE),
True,
def(LESSTIF_VERSION),
