!def(FEAT_GUI_W32),
def(FEAT_RIGHTLEFT),
!def(FEAT_BEVAL),
def(FEAT_GUI_W32),
def(WSDEBUG),
def(FEAT_TERMRESPONSE),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(FEAT_EMACS_TAGS),
def(WSDEBUG_TRACE),
def(NBDEBUG),
def(JUMPLIST_ROTATE),
def(FEAT_CLIPBOARD),
def(FEAT_GUI),
True,
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(PROTO),
!def(INET_SOCKETS),
def(WSDEBUG_SENSE),
def(FEAT_BEVAL),
def(FEAT_GUI_GTK),
!def(FEAT_GUI_GTK),
!def(FEAT_EMACS_TAGS),
def(DEBUG),
def(FEAT_TOOLBAR),
!def(PROTO),
def(__BORLANDC__),
def(INET_SOCKETS),
def(MCH_WRITE_DUMP),
def(FEAT_MBYTE),
!def(NO_CONSOLE),
def(FEAT_FKMAP),
def(FEAT_SUN_WORKSHOP),
def(LESSTIF_VERSION),
