!def(INET_SOCKETS),
def(MCH_WRITE_DUMP),
!def(FEAT_GUI_W32),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
!def(PROTO),
def(JUMPLIST_ROTATE),
def(WSDEBUG_TRACE),
def(WSDEBUG_SENSE),
def(FEAT_SUN_WORKSHOP),
def(FEAT_TOOLBAR),
def(LESSTIF_VERSION),
!def(NO_CONSOLE),
!def(FEAT_BEVAL),
def(__BORLANDC__),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(FEAT_GUI),
def(INET_SOCKETS),
def(FEAT_TERMRESPONSE),
def(NBDEBUG),
def(WSDEBUG),
True,
def(DEBUG),
def(FEAT_GUI_W32),
def(PROTO),
!def(FEAT_GUI_GTK),
def(FEAT_BEVAL),
def(FEAT_GUI_GTK),
