!def(NO_CONSOLE),
def(PROTO),
def(FEAT_TERMRESPONSE),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(FEAT_SUN_WORKSHOP),
!def(FEAT_GUI_GTK),
def(JUMPLIST_ROTATE),
!def(FEAT_GUI_W32),
def(FEAT_GUI),
def(__BORLANDC__),
!def(FEAT_RIGHTLEFT),
!def(PROTO),
def(FEAT_BEVAL),
def(FEAT_GUI_GTK),
def(FEAT_RIGHTLEFT),
def(FEAT_FKMAP),
def(NBDEBUG),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
True,
def(WSDEBUG_TRACE),
def(FEAT_TOOLBAR),
def(INET_SOCKETS),
def(DEBUG),
def(LESSTIF_VERSION),
def(FEAT_GUI_W32),
!def(INET_SOCKETS),
def(FEAT_MBYTE),
def(MCH_WRITE_DUMP),
def(WSDEBUG_SENSE),
!def(FEAT_BEVAL),
def(WSDEBUG),
