!def(FEAT_GUI_W32),
def(LESSTIF_VERSION),
def(DEBUG),
!def(FEAT_PROFILE),
def(FEAT_GUI),
def(WSDEBUG_TRACE),
def(WIN32),
def(WSDEBUG),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&(def(__MINT__)|def(HPUX_DIGRAPHS)|!def(EBCDIC))),
def(FEAT_JOB_CHANNEL),
def(FEAT_TERMRESPONSE),
def(__MINT__),
def(FEAT_GUI_W32),
def(JUMPLIST_ROTATE),
def(FEAT_TOOLBAR),
!def(FEAT_GUI_GTK),
True,
(def(HPUX_DIGRAPHS)&!def(__MINT__)),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&def(EBCDIC)),
def(INET_SOCKETS),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
!def(INET_SOCKETS),
def(PROTO),
def(FEAT_SUN_WORKSHOP),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(NBDEBUG),
def(FEAT_PROFILE),
def(MAIN),
def(FEAT_BEVAL),
def(WSDEBUG_SENSE),
def(_WIN32),
