def(INET_SOCKETS),
def(FEAT_SUN_WORKSHOP),
def(DEBUG),
def(LESSTIF_VERSION),
def(FEAT_MBYTE),
def(PROTO),
!def(FEAT_GUI_W32),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(MCH_WRITE_DUMP),
!def(NO_CONSOLE),
def(FEAT_GUI_GTK),
def(FEAT_RIGHTLEFT),
def(JUMPLIST_ROTATE),
def(WSDEBUG_SENSE),
!def(INET_SOCKETS),
!def(FEAT_BEVAL),
True,
!def(PROTO),
def(FEAT_TOOLBAR),
def(FEAT_GUI),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(WSDEBUG),
def(FEAT_TERMRESPONSE),
def(FEAT_FKMAP),
def(FEAT_BEVAL),
def(NBDEBUG),
def(FEAT_GUI_W32),
def(WSDEBUG_TRACE),
!def(FEAT_GUI_GTK),
def(__BORLANDC__),
