!def(FEAT_BEVAL),
def(JUMPLIST_ROTATE),
def(FEAT_BEVAL),
!def(NO_CONSOLE),
def(FEAT_TOOLBAR),
def(FEAT_MBYTE),
def(FEAT_RIGHTLEFT),
def(NBDEBUG),
!def(FEAT_GUI_GTK),
def(PROTO),
def(LESSTIF_VERSION),
def(FEAT_FKMAP),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
!def(PROTO),
def(FEAT_GUI),
def(WSDEBUG_TRACE),
def(WSDEBUG),
def(FEAT_GUI_W32),
True,
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
!def(INET_SOCKETS),
def(__BORLANDC__),
def(FEAT_GUI_GTK),
def(WSDEBUG_SENSE),
def(DEBUG),
def(FEAT_SUN_WORKSHOP),
def(INET_SOCKETS),
def(MCH_WRITE_DUMP),
def(FEAT_CLIPBOARD),
!def(FEAT_GUI_W32),
def(FEAT_TERMRESPONSE),
