!def(UNIX),
def(INET_SOCKETS),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(WSDEBUG),
def(_WIN32),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&def(EBCDIC)),
def(NBDEBUG),
(def(HPUX_DIGRAPHS)&!def(__MINT__)),
True,
def(FEAT_SUN_WORKSHOP),
def(PROTO),
def(UNIX),
def(MAIN),
!def(INET_SOCKETS),
!def(FEAT_GUI_W32),
def(FEAT_JOB_CHANNEL),
!def(FEAT_PROFILE),
def(FEAT_TOOLBAR),
def(LESSTIF_VERSION),
!def(FEAT_GUI_GTK),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&(def(__MINT__)|def(HPUX_DIGRAPHS)|!def(EBCDIC))),
def(FEAT_GUI_W32),
def(WSDEBUG_SENSE),
def(FEAT_BEVAL_GUI),
def(JUMPLIST_ROTATE),
def(__MINT__),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(DEBUG),
def(WSDEBUG_TRACE),
def(FEAT_TERMRESPONSE),
def(FEAT_PROFILE),
def(WIN32),
