(!def(FEAT_BEVAL)&def(WSDEBUG_SENSE)),
(!def(FEAT_GUI_GTK)&def(FEAT_GUI_W32)),
(!def(FEAT_BEVAL)&def(FEAT_MBYTE_IME)),
def(FEAT_TERMRESPONSE),
!def(FEAT_BEVAL),
(!def(FEAT_BEVAL)&def(FEAT_TOOLBAR)),
!def(FEAT_RIGHTLEFT),
def(FEAT_GUI_MOTIF),
!def(NO_CONSOLE),
def(FEAT_GUI_GTK),
!def(RISCOS),
!def(FEAT_GUI_GTK),
def(DEBUG),
!def(FEAT_GUI_W32),
!def(LESSTIF_VERSION),
(!def(FEAT_BEVAL)&def(NOIME)),
!def(PROTO),
True,
def(LESSTIF_VERSION),
(!def(PROTO)&!def(__BORLANDC__)),
(!def(FEAT_BEVAL)&def(WSDEBUG_TRACE)),
def(FEAT_MBYTE),
def(EBCDIC),
def(FEAT_GUI_W32),
def(FEAT_RIGHTLEFT),
def(FEAT_DND),
def(FEAT_TOOLBAR),
def(FEAT_GUI),
def(JUMPLIST_ROTATE),
!def(EBCDIC),
(!def(FEAT_GUI_GTK)&def(FEAT_GUI_MOTIF)),
