def(FEAT_BEVAL),
!def(INET_SOCKETS),
!def(NO_CONSOLE),
def(NBDEBUG),
!def(FEAT_BEVAL),
def(LESSTIF_VERSION),
def(WSDEBUG_TRACE),
def(FEAT_TOOLBAR),
def(FEAT_SUN_WORKSHOP),
def(__BORLANDC__),
def(FEAT_GUI_GTK),
!def(FEAT_GUI_W32),
def(FEAT_TERMRESPONSE),
!def(PROTO),
def(WSDEBUG),
def(FEAT_GUI_W32),
def(FEAT_GUI),
True,
def(WSDEBUG_SENSE),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(PROTO),
def(DEBUG),
!def(FEAT_GUI_GTK),
def(JUMPLIST_ROTATE),
def(INET_SOCKETS),
def(MCH_WRITE_DUMP),
