!def(INET_SOCKETS),
def(FEAT_SUN_WORKSHOP),
def(MCH_WRITE_DUMP),
def(WSDEBUG_TRACE),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(JUMPLIST_ROTATE),
def(__BORLANDC__),
def(FEAT_GUI_GTK),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(WSDEBUG_SENSE),
def(PROTO),
def(FEAT_BEVAL),
def(NBDEBUG),
def(FEAT_TOOLBAR),
def(FEAT_GUI_W32),
def(DEBUG),
def(INET_SOCKETS),
def(WSDEBUG),
!def(FEAT_GUI_W32),
!def(FEAT_GUI_GTK),
def(FEAT_CLIPBOARD),
True,
def(LESSTIF_VERSION),
!def(NO_CONSOLE),
def(FEAT_GUI),
def(FEAT_MBYTE),
!def(PROTO),
def(FEAT_TERMRESPONSE),
