!def(NO_CONSOLE),
def(WSDEBUG_SENSE),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(FEAT_BEVAL),
def(FEAT_TERMRESPONSE),
def(INET_SOCKETS),
def(LESSTIF_VERSION),
def(MCH_WRITE_DUMP),
def(JUMPLIST_ROTATE),
def(FEAT_TOOLBAR),
!def(INET_SOCKETS),
True,
!def(FEAT_BEVAL),
def(NBDEBUG),
def(FEAT_GUI_W32),
!def(FEAT_GUI_GTK),
def(PROTO),
def(WSDEBUG),
!def(FEAT_GUI_W32),
def(DEBUG),
def(FEAT_GUI),
def(__BORLANDC__),
def(FEAT_SUN_WORKSHOP),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(FEAT_GUI_GTK),
def(WSDEBUG_TRACE),
!def(PROTO),
