!def(FEAT_GUI_W32),
!def(FEAT_MBYTE),
def(FEAT_SUN_WORKSHOP),
def(WSDEBUG_TRACE),
def(FEAT_RIGHTLEFT),
def(FEAT_TERMRESPONSE),
def(__BORLANDC__),
def(FEAT_GUI_W32),
def(DEBUG),
def(FEAT_TOOLBAR),
def(PROTO),
!def(FEAT_GUI_GTK),
def(LESSTIF_VERSION),
def(MCH_WRITE_DUMP),
def(FEAT_GUI_GTK),
!def(NO_CONSOLE),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(WSDEBUG),
!def(FEAT_RIGHTLEFT),
def(FEAT_BEVAL),
def(WSDEBUG_SENSE),
def(FEAT_GUI),
True,
def(INET_SOCKETS),
!def(PROTO),
def(NBDEBUG),
!def(FEAT_BEVAL),
!def(INET_SOCKETS),
def(FEAT_CLIPBOARD),
def(FEAT_MBYTE),
def(JUMPLIST_ROTATE),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
