!def(INET_SOCKETS),
!def(NO_CONSOLE),
def(FEAT_GUI_GTK),
!def(FEAT_BEVAL),
def(JUMPLIST_ROTATE),
def(INET_SOCKETS),
def(__BORLANDC__),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(FEAT_GUI),
def(WSDEBUG),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(LESSTIF_VERSION),
def(WSDEBUG_SENSE),
def(MCH_WRITE_DUMP),
def(DEBUG),
!def(PROTO),
def(FEAT_GUI_W32),
def(FEAT_BEVAL),
def(FEAT_SUN_WORKSHOP),
!def(FEAT_GUI_GTK),
def(PROTO),
!def(FEAT_GUI_W32),
def(FEAT_TERMRESPONSE),
True,
def(WSDEBUG_TRACE),
def(FEAT_TOOLBAR),
def(NBDEBUG),
