!def(NO_CONSOLE),
def(FEAT_GUI_GTK),
def(PROTO),
def(JUMPLIST_ROTATE),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
True,
def(NBDEBUG),
def(WSDEBUG),
def(__BORLANDC__),
!def(PROTO),
def(FEAT_TOOLBAR),
!def(FEAT_GUI_GTK),
def(DEBUG),
!def(FEAT_BEVAL),
def(WSDEBUG_TRACE),
def(INET_SOCKETS),
!def(INET_SOCKETS),
def(FEAT_GUI_W32),
def(FEAT_TERMRESPONSE),
def(FEAT_SUN_WORKSHOP),
def(FEAT_GUI),
!def(FEAT_GUI_W32),
def(MCH_WRITE_DUMP),
def(FEAT_BEVAL),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(WSDEBUG_SENSE),
def(LESSTIF_VERSION),
