def(RISCOS),
!def(FEAT_GUI_W32),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(FEAT_GUI_GTK),
!def(FEAT_MBYTE),
def(NBDEBUG),
def(JUMPLIST_ROTATE),
def(FEAT_BEVAL),
def(MCH_WRITE_DUMP),
!def(PROTO),
def(EBCDIC),
!def(RISCOS),
!def(FEAT_GUI_GTK),
def(LESSTIF_VERSION),
!def(FEAT_RIGHTLEFT),
def(FEAT_RIGHTLEFT),
def(__BORLANDC__),
def(PROTO),
def(FEAT_GUI),
def(WSDEBUG),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(DEBUG),
def(FEAT_FKMAP),
def(FEAT_TERMRESPONSE),
!def(NO_CONSOLE),
!def(FEAT_BEVAL),
def(FEAT_GUI_W32),
def(FEAT_MBYTE),
def(FEAT_TOOLBAR),
!def(EBCDIC),
def(FEAT_SUN_WORKSHOP),
True,
def(WSDEBUG_TRACE),
def(WSDEBUG_SENSE),
