!def(FEAT_GUI_W32),
!def(NO_CONSOLE),
def(FEAT_MBYTE),
def(FEAT_SUN_WORKSHOP),
def(FEAT_BEVAL),
!def(PROTO),
!def(FEAT_GUI_GTK),
!def(FEAT_BEVAL),
def(JUMPLIST_ROTATE),
def(NBDEBUG),
def(WSDEBUG),
def(FEAT_FKMAP),
def(__BORLANDC__),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(LESSTIF_VERSION),
def(FEAT_TERMRESPONSE),
def(WSDEBUG_SENSE),
def(FEAT_GUI_W32),
def(MCH_WRITE_DUMP),
def(WSDEBUG_TRACE),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(FEAT_TOOLBAR),
def(DEBUG),
True,
def(INET_SOCKETS),
def(FEAT_GUI),
!def(INET_SOCKETS),
def(FEAT_GUI_GTK),
def(PROTO),
def(FEAT_RIGHTLEFT),
