def(FEAT_BEVAL_GUI),
def(FEAT_PROFILE),
def(NBDEBUG),
def(PROTO),
def(DEBUG),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(JUMPLIST_ROTATE),
def(INET_SOCKETS),
(def(HPUX_DIGRAPHS)&!def(__MINT__)),
def(__MINT__),
True,
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
!def(INET_SOCKETS),
def(FEAT_SUN_WORKSHOP),
def(FEAT_JOB_CHANNEL),
def(_WIN32),
def(WSDEBUG_TRACE),
def(FEAT_TOOLBAR),
def(FEAT_GUI_W32),
def(WIN32),
def(WSDEBUG_SENSE),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&(def(__MINT__)|def(HPUX_DIGRAPHS)|!def(EBCDIC))),
def(LESSTIF_VERSION),
def(WSDEBUG),
!def(FEAT_GUI_W32),
!def(FEAT_GUI_GTK),
def(FEAT_TERMRESPONSE),
def(MAIN),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&def(EBCDIC)),
!def(FEAT_PROFILE),
