(!def(PROTO)&!def(__BORLANDC__)),
def(FEAT_GUI_W32),
(!def(FEAT_BEVAL)&def(FEAT_MBYTE_IME)),
(!def(FEAT_BEVAL)&def(NOIME)),
def(FEAT_TERMRESPONSE),
def(FEAT_GUI),
True,
!def(FEAT_GUI_W32),
!def(NO_CONSOLE),
(!def(FEAT_BEVAL)&def(FEAT_TOOLBAR)),
