!def(FEAT_GUI_GTK),
def(__BORLANDC__),
!def(PROTO),
def(INET_SOCKETS),
def(WSDEBUG),
def(FEAT_FKMAP),
def(WSDEBUG_SENSE),
def(FEAT_GUI_W32),
def(FEAT_BEVAL),
def(FEAT_GUI_GTK),
!def(NO_CONSOLE),
def(FEAT_TOOLBAR),
!def(FEAT_BEVAL),
def(MCH_WRITE_DUMP),
def(JUMPLIST_ROTATE),
def(NBDEBUG),
def(FEAT_TERMRESPONSE),
def(FEAT_MBYTE),
def(LESSTIF_VERSION),
def(FEAT_GUI),
def(WSDEBUG_TRACE),
True,
!def(INET_SOCKETS),
def(PROTO),
def(FEAT_SUN_WORKSHOP),
def(FEAT_RIGHTLEFT),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
!def(FEAT_GUI_W32),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(DEBUG),
