!def(FEAT_MBYTE),
def(__BORLANDC__),
def(FEAT_GUI),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(JUMPLIST_ROTATE),
!def(FEAT_BEVAL),
def(FEAT_TERMRESPONSE),
True,
def(FEAT_SUN_WORKSHOP),
def(WSDEBUG_SENSE),
def(NBDEBUG),
def(MCH_WRITE_DUMP),
def(INET_SOCKETS),
!def(PROTO),
def(LESSTIF_VERSION),
def(WSDEBUG),
!def(FEAT_GUI_W32),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(FEAT_MBYTE),
def(PROTO),
def(FEAT_GUI_GTK),
!def(NO_CONSOLE),
!def(INET_SOCKETS),
!def(FEAT_GUI_GTK),
def(FEAT_GUI_W32),
def(FEAT_TOOLBAR),
def(FEAT_BEVAL),
def(DEBUG),
def(WSDEBUG_TRACE),
