!def(INET_SOCKETS),
!def(FEAT_GUI_W32),
!def(NO_CONSOLE),
def(FEAT_RIGHTLEFT),
def(FEAT_MBYTE),
def(WSDEBUG_SENSE),
def(LESSTIF_VERSION),
def(FEAT_TERMRESPONSE),
def(FEAT_BEVAL),
def(FEAT_FKMAP),
def(DEBUG),
def(FEAT_GUI_W32),
def(_WIN32),
def(PROTO),
def(FEAT_SUN_WORKSHOP),
def(FEAT_GUI),
True,
def(FEAT_TOOLBAR),
def(NBDEBUG),
!def(FEAT_GUI_GTK),
def(WSDEBUG_TRACE),
def(WIN32),
def(INET_SOCKETS),
def(MAIN),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(WSDEBUG),
def(JUMPLIST_ROTATE),
