!def(FEAT_BEVAL),
!def(FEAT_EMACS_TAGS),
def(FEAT_SUN_WORKSHOP),
True,
!def(INET_SOCKETS),
def(FEAT_EMACS_TAGS),
def(FEAT_GUI_W32),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(FEAT_TOOLBAR),
def(NBDEBUG),
def(WSDEBUG_TRACE),
def(FEAT_GUI),
def(FEAT_MBYTE),
def(WSDEBUG),
def(FEAT_GUI_GTK),
!def(NO_CONSOLE),
def(MCH_WRITE_DUMP),
def(PROTO),
!def(FEAT_GUI_W32),
def(JUMPLIST_ROTATE),
!def(FEAT_GUI_GTK),
!def(PROTO),
def(FEAT_RIGHTLEFT),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(INET_SOCKETS),
def(DEBUG),
def(LESSTIF_VERSION),
def(__BORLANDC__),
def(FEAT_FKMAP),
def(WSDEBUG_SENSE),
def(FEAT_BEVAL),
def(FEAT_TERMRESPONSE),
