!def(FEAT_BEVAL),
!def(FEAT_GUI_W32),
def(FEAT_RIGHTLEFT),
def(FEAT_MBYTE),
def(FEAT_TOOLBAR),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
!def(NO_CONSOLE),
def(MCH_WRITE_DUMP),
!def(PROTO),
def(NBDEBUG),
!def(FEAT_GUI_GTK),
def(WSDEBUG),
def(FEAT_SUN_WORKSHOP),
def(WSDEBUG_SENSE),
!def(INET_SOCKETS),
def(FEAT_GUI_W32),
def(JUMPLIST_ROTATE),
def(FEAT_BEVAL),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(DEBUG),
def(FEAT_GUI),
def(INET_SOCKETS),
def(RISCOS),
def(LESSTIF_VERSION),
def(FEAT_TERMRESPONSE),
!def(FEAT_MBYTE),
def(FEAT_FKMAP),
def(PROTO),
True,
!def(RISCOS),
def(WSDEBUG_TRACE),
def(__BORLANDC__),
def(FEAT_GUI_GTK),
