def(RISCOS),
def(PROTO),
def(FEAT_MBYTE),
!def(FEAT_MBYTE),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(__BORLANDC__),
def(INET_SOCKETS),
!def(FEAT_GUI_W32),
True,
def(WSDEBUG_SENSE),
def(WSDEBUG),
def(FEAT_RIGHTLEFT),
def(FEAT_GUI_W32),
!def(FEAT_BEVAL),
def(LESSTIF_VERSION),
def(NBDEBUG),
def(FEAT_GUI),
!def(FEAT_RIGHTLEFT),
def(FEAT_TOOLBAR),
!def(FEAT_GUI_GTK),
def(DEBUG),
!def(PROTO),
!def(RISCOS),
def(FEAT_GUI_GTK),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(FEAT_BEVAL),
def(FEAT_FKMAP),
def(JUMPLIST_ROTATE),
def(MCH_WRITE_DUMP),
def(FEAT_SUN_WORKSHOP),
!def(NO_CONSOLE),
!def(INET_SOCKETS),
def(WSDEBUG_TRACE),
def(FEAT_TERMRESPONSE),
