!def(FEAT_MBYTE),
def(FEAT_TERMRESPONSE),
def(FEAT_FKMAP),
def(MCH_WRITE_DUMP),
def(NBDEBUG),
!def(PROTO),
def(FEAT_CLIPBOARD),
def(WSDEBUG_SENSE),
!def(FEAT_BEVAL),
def(FEAT_RIGHTLEFT),
!def(FEAT_GUI_GTK),
!def(NO_CONSOLE),
True,
def(FEAT_TOOLBAR),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(JUMPLIST_ROTATE),
def(WSDEBUG_TRACE),
def(PROTO),
!def(FEAT_RIGHTLEFT),
def(__BORLANDC__),
def(FEAT_MBYTE),
def(FEAT_BEVAL),
def(FEAT_GUI),
def(FEAT_SUN_WORKSHOP),
!def(FEAT_GUI_W32),
def(LESSTIF_VERSION),
def(FEAT_GUI_GTK),
def(DEBUG),
def(FEAT_GUI_W32),
def(INET_SOCKETS),
!def(INET_SOCKETS),
def(WSDEBUG),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
