!def(FEAT_GUI_GTK),
!def(FEAT_GUI_W32),
def(WSDEBUG_SENSE),
!def(FEAT_BEVAL),
def(FEAT_GUI_W32),
def(WSDEBUG_TRACE),
!def(FEAT_MBYTE),
True,
def(__BORLANDC__),
def(FEAT_GUI),
def(DEBUG),
!def(INET_SOCKETS),
def(FEAT_TERMRESPONSE),
def(FEAT_TOOLBAR),
def(JUMPLIST_ROTATE),
def(FEAT_MBYTE),
!def(NO_CONSOLE),
!def(PROTO),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(WSDEBUG),
def(FEAT_GUI_GTK),
def(FEAT_SUN_WORKSHOP),
def(PROTO),
def(NBDEBUG),
def(MCH_WRITE_DUMP),
def(INET_SOCKETS),
def(LESSTIF_VERSION),
def(FEAT_BEVAL),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
