!def(FEAT_BEVAL),
!def(FEAT_GUI_GTK),
def(LESSTIF_VERSION),
def(FEAT_TERMRESPONSE),
def(FEAT_BEVAL),
def(MCH_WRITE_DUMP),
def(PROTO),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
True,
def(WSDEBUG_SENSE),
def(FEAT_TOOLBAR),
def(__BORLANDC__),
def(FEAT_SUN_WORKSHOP),
def(DEBUG),
!def(FEAT_GUI_W32),
def(JUMPLIST_ROTATE),
def(FEAT_GUI_W32),
!def(PROTO),
!def(NO_CONSOLE),
def(WSDEBUG_TRACE),
def(FEAT_GUI),
!def(INET_SOCKETS),
def(NBDEBUG),
def(WSDEBUG),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(FEAT_GUI_GTK),
def(INET_SOCKETS),
