def(FEAT_CLIPBOARD),
def(PROTO),
!def(RISCOS),
def(FEAT_TOOLBAR),
!def(PROTO),
def(JUMPLIST_ROTATE),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(FEAT_GUI),
def(FEAT_BEVAL),
def(WSDEBUG),
def(MCH_WRITE_DUMP),
def(DEBUG),
def(FEAT_GUI_W32),
def(__BORLANDC__),
!def(FEAT_GUI_GTK),
def(NBDEBUG),
!def(FEAT_MBYTE),
def(FEAT_SUN_WORKSHOP),
!def(NO_CONSOLE),
!def(FEAT_GUI_W32),
!def(FEAT_RIGHTLEFT),
True,
!def(FEAT_BEVAL),
def(FEAT_RIGHTLEFT),
def(RISCOS),
def(WSDEBUG_TRACE),
def(FEAT_FKMAP),
def(LESSTIF_VERSION),
def(FEAT_TERMRESPONSE),
def(WSDEBUG_SENSE),
def(FEAT_GUI_GTK),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(FEAT_MBYTE),
