!def(FEAT_GUI_W32),
!def(FEAT_BEVAL),
!def(PROTO),
def(MCH_WRITE_DUMP),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(NBDEBUG),
!def(NO_CONSOLE),
def(INET_SOCKETS),
def(LESSTIF_VERSION),
!def(INET_SOCKETS),
def(FEAT_BEVAL),
def(FEAT_TOOLBAR),
def(PROTO),
def(WSDEBUG_TRACE),
def(FEAT_GUI_W32),
def(WSDEBUG_SENSE),
def(__BORLANDC__),
def(DEBUG),
True,
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(FEAT_GUI_GTK),
def(FEAT_SUN_WORKSHOP),
!def(FEAT_GUI_GTK),
def(FEAT_GUI),
def(FEAT_TERMRESPONSE),
def(WSDEBUG),
def(JUMPLIST_ROTATE),
