!def(PROTO),
!def(FEAT_GUI_GTK),
def(FEAT_BEVAL),
def(FEAT_SUN_WORKSHOP),
def(PROTO),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(WSDEBUG_SENSE),
True,
def(LESSTIF_VERSION),
def(WSDEBUG),
def(JUMPLIST_ROTATE),
!def(NO_CONSOLE),
def(MCH_WRITE_DUMP),
!def(INET_SOCKETS),
def(DEBUG),
def(FEAT_GUI_W32),
def(__BORLANDC__),
!def(FEAT_GUI_W32),
def(INET_SOCKETS),
!def(FEAT_BEVAL),
def(FEAT_TERMRESPONSE),
def(NBDEBUG),
def(FEAT_TOOLBAR),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(FEAT_GUI),
def(WSDEBUG_TRACE),
def(FEAT_GUI_GTK),
