!def(FEAT_GUI_W32),
def(__BORLANDC__),
def(MCH_WRITE_DUMP),
!def(FEAT_BEVAL),
def(INET_SOCKETS),
def(FEAT_TOOLBAR),
!def(INET_SOCKETS),
def(WSDEBUG),
def(WSDEBUG_TRACE),
!def(FEAT_GUI_GTK),
def(PROTO),
True,
def(FEAT_TERMRESPONSE),
def(DEBUG),
def(FEAT_BEVAL),
def(JUMPLIST_ROTATE),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(FEAT_GUI_W32),
def(LESSTIF_VERSION),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(NBDEBUG),
!def(NO_CONSOLE),
def(FEAT_GUI),
def(WSDEBUG_SENSE),
def(FEAT_SUN_WORKSHOP),
!def(PROTO),
def(FEAT_GUI_GTK),
