(def(USE_WS_ERRORHANDLER)&def(WSDEBUG)),
!def(INET_SOCKETS),
def(FEAT_TOOLBAR),
def(FEAT_BEVAL),
def(WSDEBUG),
def(WIN32),
(def(USE_NB_ERRORHANDLER)&def(NBDEBUG)),
(def(HPUX_DIGRAPHS)&!def(__MINT__)),
def(LESSTIF_VERSION),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&def(EBCDIC)),
def(FEAT_GUI),
def(INET_SOCKETS),
def(_WIN32),
def(MAIN),
def(FEAT_TERMRESPONSE),
def(WSDEBUG_TRACE),
def(PROTO),
def(NBDEBUG),
def(DEBUG),
True,
def(FEAT_GUI_W32),
def(__MINT__),
!def(FEAT_GUI_W32),
def(FEAT_JOB_CHANNEL),
def(FEAT_SUN_WORKSHOP),
def(WSDEBUG_SENSE),
!def(FEAT_GUI_GTK),
def(JUMPLIST_ROTATE),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&(def(__MINT__)|def(HPUX_DIGRAPHS)|!def(EBCDIC))),
