!def(FEAT_GUI_GTK),
def(INET_SOCKETS),
def(LESSTIF_VERSION),
def(PROTO),
True,
!def(FEAT_GUI_W32),
def(WSDEBUG_SENSE),
def(MAIN),
def(FEAT_GUI),
!def(NO_CONSOLE),
!def(INET_SOCKETS),
def(WIN32),
def(FEAT_BEVAL),
def(FEAT_TERMRESPONSE),
def(_WIN32),
def(WSDEBUG),
def(FEAT_GUI_W32),
def(NBDEBUG),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(FEAT_SUN_WORKSHOP),
def(DEBUG),
def(FEAT_TOOLBAR),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(JUMPLIST_ROTATE),
def(WSDEBUG_TRACE),
