!def(UNIX),
def(FEAT_TERMRESPONSE),
def(JUMPLIST_ROTATE),
def(LESSTIF_VERSION),
def(WSDEBUG_TRACE),
!def(FEAT_GUI_W32),
!def(FEAT_PROFILE),
!def(INET_SOCKETS),
def(WIN32),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&(def(__MINT__)|def(HPUX_DIGRAPHS)|!def(EBCDIC))),
def(FEAT_RIGHTLEFT),
def(FEAT_MBYTE),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&def(EBCDIC)),
def(WSDEBUG_SENSE),
def(INET_SOCKETS),
def(FEAT_PROFILE),
def(_WIN32),
def(FEAT_TOOLBAR),
def(FEAT_GUI_W32),
True,
def(DEBUG),
def(FEAT_SUN_WORKSHOP),
def(UNIX),
def(PROTO),
def(NBDEBUG),
def(FEAT_BEVAL_GUI),
(def(HPUX_DIGRAPHS)&!def(__MINT__)),
def(FEAT_FKMAP),
!def(FEAT_GUI_GTK),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(FEAT_JOB_CHANNEL),
def(WSDEBUG),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(MAIN),
def(__MINT__),
