!def(FEAT_GUI_W32),
def(JUMPLIST_ROTATE),
def(FEAT_GUI),
def(WSDEBUG_SENSE),
def(WSDEBUG_TRACE),
!def(INET_SOCKETS),
def(WSDEBUG),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&(def(__MINT__)|def(HPUX_DIGRAPHS)|!def(EBCDIC))),
def(MAIN),
def(LESSTIF_VERSION),
(def(HPUX_DIGRAPHS)&!def(__MINT__)),
def(FEAT_PROFILE),
def(WIN32),
!def(FEAT_PROFILE),
def(_WIN32),
def(NBDEBUG),
def(INET_SOCKETS),
!def(FEAT_GUI_GTK),
def(FEAT_BEVAL),
def(FEAT_TERMRESPONSE),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(DEBUG),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(PROTO),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&def(EBCDIC)),
def(FEAT_SUN_WORKSHOP),
def(FEAT_TOOLBAR),
def(FEAT_GUI_W32),
def(__MINT__),
True,
def(FEAT_JOB_CHANNEL),
