def(MCH_WRITE_DUMP),
def(FEAT_GUI_W32),
def(WSDEBUG_SENSE),
def(__BORLANDC__),
!def(INET_SOCKETS),
def(WSDEBUG),
!def(PROTO),
def(FEAT_GUI_GTK),
def(PROTO),
def(FEAT_BEVAL),
def(FEAT_SUN_WORKSHOP),
def(JUMPLIST_ROTATE),
def(DEBUG),
!def(NO_CONSOLE),
def(FEAT_TERMRESPONSE),
def(LESSTIF_VERSION),
!def(FEAT_GUI_W32),
def(FEAT_GUI),
!def(FEAT_GUI_GTK),
def(WSDEBUG_TRACE),
def(FEAT_TOOLBAR),
def(INET_SOCKETS),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
True,
def(NBDEBUG),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
