!def(INET_SOCKETS),
(def(HPUX_DIGRAPHS)&!def(__MINT__)),
def(INET_SOCKETS),
def(FEAT_GUI),
def(_WIN32),
(def(USE_WS_ERRORHANDLER)&def(WSDEBUG)),
def(NBDEBUG),
def(FEAT_TERMRESPONSE),
def(PROTO),
!def(FEAT_GUI_W32),
def(FEAT_GUI_GTK),
def(FEAT_GUI_W32),
def(FEAT_TERMGUICOLORS),
def(MAIN),
def(LESSTIF_VERSION),
def(WIN32),
def(JUMPLIST_ROTATE),
def(DEBUG),
def(WSDEBUG),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&(def(__MINT__)|def(HPUX_DIGRAPHS)|!def(EBCDIC))),
def(FEAT_JOB_CHANNEL),
!def(FEAT_GUI_GTK),
(def(USE_NB_ERRORHANDLER)&def(NBDEBUG)),
def(FEAT_TOOLBAR),
True,
def(__MINT__),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&def(EBCDIC)),
