def(FEAT_RIGHTLEFT),
def(NBDEBUG),
def(FEAT_SUN_WORKSHOP),
def(PROTO),
def(JUMPLIST_ROTATE),
def(FEAT_BEVAL),
!def(NO_CONSOLE),
def(FEAT_TOOLBAR),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(FEAT_GUI_W32),
def(FEAT_GUI_GTK),
!def(FEAT_GUI_W32),
!def(INET_SOCKETS),
!def(FEAT_GUI_GTK),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(INET_SOCKETS),
def(MCH_WRITE_DUMP),
def(LESSTIF_VERSION),
def(WSDEBUG_SENSE),
def(DEBUG),
def(FEAT_TERMRESPONSE),
def(__BORLANDC__),
def(WSDEBUG_TRACE),
def(FEAT_GUI),
def(FEAT_MBYTE),
True,
def(FEAT_FKMAP),
!def(PROTO),
def(WSDEBUG),
