!def(PROTO),
!def(NO_CONSOLE),
!def(FEAT_GUI_W32),
def(__BORLANDC__),
def(WSDEBUG_SENSE),
def(FEAT_SUN_WORKSHOP),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
!def(INET_SOCKETS),
def(INET_SOCKETS),
def(FEAT_GUI_GTK),
def(WSDEBUG_TRACE),
def(NBDEBUG),
def(FEAT_TOOLBAR),
def(DEBUG),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(LESSTIF_VERSION),
def(PROTO),
def(JUMPLIST_ROTATE),
True,
def(FEAT_TERMRESPONSE),
def(WSDEBUG),
!def(FEAT_GUI_GTK),
def(FEAT_GUI),
def(FEAT_GUI_W32),
def(FEAT_BEVAL),
def(MCH_WRITE_DUMP),
