!def(FEAT_MBYTE),
def(WSDEBUG),
def(FEAT_SUN_WORKSHOP),
def(FEAT_GUI_GTK),
def(FEAT_BEVAL),
def(INET_SOCKETS),
def(DEBUG),
def(FEAT_GUI),
def(LESSTIF_VERSION),
def(FEAT_TERMRESPONSE),
def(FEAT_TOOLBAR),
def(FEAT_GUI_W32),
def(MCH_WRITE_DUMP),
!def(PROTO),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(WSDEBUG_TRACE),
def(__BORLANDC__),
!def(INET_SOCKETS),
!def(FEAT_BEVAL),
!def(NO_CONSOLE),
def(FEAT_MBYTE),
def(WSDEBUG_SENSE),
def(JUMPLIST_ROTATE),
!def(FEAT_GUI_GTK),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
!def(FEAT_GUI_W32),
True,
def(NBDEBUG),
def(PROTO),
