def(__MINT__),
True,
def(MAIN),
(def(HPUX_DIGRAPHS)&!def(__MINT__)),
def(NBDEBUG),
def(JUMPLIST_ROTATE),
def(FEAT_JOB_CHANNEL),
!def(FEAT_GUI_GTK),
def(WSDEBUG_SENSE),
def(FEAT_TOOLBAR),
def(_WIN32),
def(FEAT_GUI),
def(LESSTIF_VERSION),
def(DEBUG),
def(WIN32),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&(def(__MINT__)|def(HPUX_DIGRAPHS)|!def(EBCDIC))),
!def(INET_SOCKETS),
def(INET_SOCKETS),
!def(FEAT_PROFILE),
def(FEAT_PROFILE),
def(FEAT_SUN_WORKSHOP),
def(PROTO),
def(FEAT_GUI_W32),
def(WSDEBUG_TRACE),
def(WSDEBUG),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
!def(FEAT_GUI_W32),
def(FEAT_BEVAL_GUI),
def(FEAT_TERMRESPONSE),
def(FEAT_BEVAL),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&def(EBCDIC)),
