!def(FEAT_PROFILE),
def(WSDEBUG),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(MAIN),
True,
!def(FEAT_GUI_W32),
!def(INET_SOCKETS),
def(FEAT_SUN_WORKSHOP),
def(WIN32),
!def(FEAT_GUI_GTK),
def(__MINT__),
def(FEAT_TOOLBAR),
def(DEBUG),
(def(HPUX_DIGRAPHS)&!def(__MINT__)),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&(def(__MINT__)|def(HPUX_DIGRAPHS)|!def(EBCDIC))),
def(WSDEBUG_TRACE),
def(FEAT_TERMRESPONSE),
def(FEAT_PROFILE),
def(FEAT_JOB_CHANNEL),
def(PROTO),
def(FEAT_GUI_W32),
def(FEAT_BEVAL_GUI),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&def(EBCDIC)),
def(WSDEBUG_SENSE),
def(JUMPLIST_ROTATE),
def(NBDEBUG),
def(_WIN32),
def(INET_SOCKETS),
def(LESSTIF_VERSION),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
