def(MCH_WRITE_DUMP),
def(WSDEBUG),
!def(FEAT_BEVAL),
def(JUMPLIST_ROTATE),
def(LESSTIF_VERSION),
def(FEAT_RIGHTLEFT),
def(PROTO),
def(FEAT_MBYTE),
def(__BORLANDC__),
True,
def(FEAT_TOOLBAR),
def(FEAT_GUI),
!def(INET_SOCKETS),
def(FEAT_FKMAP),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(FEAT_GUI_W32),
def(NBDEBUG),
!def(PROTO),
def(FEAT_BEVAL),
!def(FEAT_GUI_W32),
def(FEAT_TERMRESPONSE),
def(WSDEBUG_SENSE),
def(FEAT_GUI_GTK),
!def(FEAT_GUI_GTK),
def(INET_SOCKETS),
!def(NO_CONSOLE),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(WSDEBUG_TRACE),
def(FEAT_SUN_WORKSHOP),
def(DEBUG),
