def(FEAT_SUN_WORKSHOP),
def(FEAT_MBYTE),
!def(FEAT_GUI_GTK),
!def(NO_CONSOLE),
def(FEAT_GUI_GTK),
def(FEAT_BEVAL),
def(DEBUG),
def(FEAT_EMACS_TAGS),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(INET_SOCKETS),
def(__BORLANDC__),
!def(PROTO),
def(WSDEBUG_TRACE),
!def(FEAT_BEVAL),
!def(FEAT_EMACS_TAGS),
def(FEAT_TOOLBAR),
!def(INET_SOCKETS),
def(MCH_WRITE_DUMP),
def(FEAT_RIGHTLEFT),
def(FEAT_CLIPBOARD),
!def(FEAT_MBYTE),
def(JUMPLIST_ROTATE),
def(PROTO),
True,
def(FEAT_GUI_W32),
def(WSDEBUG_SENSE),
!def(FEAT_GUI_W32),
def(LESSTIF_VERSION),
def(FEAT_TERMRESPONSE),
def(FEAT_GUI),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
!def(FEAT_RIGHTLEFT),
def(FEAT_FKMAP),
def(WSDEBUG),
def(NBDEBUG),
