!def(NO_CONSOLE),
def(FEAT_GUI),
True,
def(FEAT_DND),
(!def(FEAT_BEVAL)&def(NOIME)),
(def(FEAT_GUI_GTK)&def(FEAT_BEVAL)),
def(EBCDIC),
(!def(FEAT_BEVAL)&def(FEAT_MBYTE_IME)),
(!def(PROTO)&!def(__BORLANDC__)),
def(LESSTIF_VERSION),
def(FEAT_TERMRESPONSE),
!def(EBCDIC),
def(FEAT_TOOLBAR),
def(WSDEBUG_SENSE),
(!def(FEAT_BEVAL)&def(FEAT_TOOLBAR)),
!def(FEAT_GUI_W32),
def(WSDEBUG_TRACE),
def(FEAT_BEVAL),
!def(RISCOS),
(def(FEAT_BEVAL)&!def(FEAT_GUI_GTK)&(!def(FEAT_GUI_GTK)|!def(FEAT_BEVAL))),
def(FEAT_GUI_W32),
