!def(PROTO),
!def(FEAT_BEVAL),
def(FEAT_GUI),
def(WSDEBUG_SENSE),
!def(FEAT_GUI_W32),
def(__BORLANDC__),
!def(INET_SOCKETS),
def(DEBUG),
def(PROTO),
def(WSDEBUG_TRACE),
!def(FEAT_GUI_GTK),
def(FEAT_TERMRESPONSE),
def(WSDEBUG),
True,
def(LESSTIF_VERSION),
def(FEAT_GUI_GTK),
def(MCH_WRITE_DUMP),
def(NBDEBUG),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(FEAT_GUI_W32),
def(FEAT_SUN_WORKSHOP),
def(INET_SOCKETS),
def(FEAT_BEVAL),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(JUMPLIST_ROTATE),
!def(NO_CONSOLE),
def(FEAT_TOOLBAR),
