!def(FEAT_GUI_GTK),
!def(NO_CONSOLE),
def(WSDEBUG_SENSE),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(FEAT_TERMRESPONSE),
def(WSDEBUG),
def(DEBUG),
def(LESSTIF_VERSION),
!def(INET_SOCKETS),
def(FEAT_GUI),
def(PROTO),
def(WSDEBUG_TRACE),
def(FEAT_GUI_W32),
def(NBDEBUG),
def(INET_SOCKETS),
def(FEAT_BEVAL),
def(FEAT_TOOLBAR),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
!def(PROTO),
def(__BORLANDC__),
def(FEAT_RIGHTLEFT),
True,
!def(FEAT_BEVAL),
def(FEAT_GUI_GTK),
!def(FEAT_GUI_W32),
def(FEAT_FKMAP),
def(FEAT_MBYTE),
def(MCH_WRITE_DUMP),
def(FEAT_SUN_WORKSHOP),
def(JUMPLIST_ROTATE),
