(!def(FEAT_BEVAL)&def(FEAT_TOOLBAR)),
!def(EBCDIC),
def(FEAT_GUI_W32),
def(EBCDIC),
!def(NO_CONSOLE),
(!def(FEAT_BEVAL)&def(NOIME)),
(!def(FEAT_BEVAL)&def(FEAT_MBYTE_IME)),
!def(FEAT_GUI_W32),
!def(RISCOS),
def(FEAT_DND),
(!def(PROTO)&!def(__BORLANDC__)),
True,
def(FEAT_TERMRESPONSE),
def(FEAT_GUI),
