(!def(PROTO)&!def(__BORLANDC__)),
!def(RISCOS),
!def(NO_CONSOLE),
(def(FEAT_BEVAL)&!def(FEAT_GUI_GTK)&(!def(FEAT_GUI_GTK)|!def(FEAT_BEVAL))),
def(LESSTIF_VERSION),
def(FEAT_GUI),
!def(EBCDIC),
(!def(FEAT_BEVAL)&def(NOIME)),
(!def(FEAT_BEVAL)&def(FEAT_TOOLBAR)),
True,
def(FEAT_BEVAL),
(!def(FEAT_BEVAL)&def(FEAT_MBYTE_IME)),
def(FEAT_GUI_W32),
def(EBCDIC),
def(WSDEBUG_TRACE),
(def(FEAT_GUI_GTK)&def(FEAT_BEVAL)),
def(WSDEBUG_SENSE),
!def(FEAT_GUI_W32),
def(FEAT_TOOLBAR),
def(FEAT_DND),
def(FEAT_TERMRESPONSE),
