!def(FEAT_GUI_GTK),
def(WSDEBUG_SENSE),
def(FEAT_SUN_WORKSHOP),
True,
def(FEAT_BEVAL),
!def(INET_SOCKETS),
def(FEAT_TERMRESPONSE),
def(WSDEBUG),
!def(FEAT_EMACS_TAGS),
def(__BORLANDC__),
!def(NO_CONSOLE),
def(WSDEBUG_TRACE),
def(FEAT_MBYTE),
def(PROTO),
def(LESSTIF_VERSION),
def(INET_SOCKETS),
def(FEAT_RIGHTLEFT),
def(JUMPLIST_ROTATE),
!def(FEAT_BEVAL),
def(DEBUG),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(FEAT_EMACS_TAGS),
def(FEAT_TOOLBAR),
def(FEAT_GUI),
def(FEAT_GUI_GTK),
!def(PROTO),
def(FEAT_CLIPBOARD),
def(FEAT_GUI_W32),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(FEAT_FKMAP),
def(MCH_WRITE_DUMP),
!def(FEAT_GUI_W32),
def(NBDEBUG),
