!def(FEAT_BEVAL),
!def(NO_CONSOLE),
def(WSDEBUG_SENSE),
!def(FEAT_EMACS_TAGS),
def(FEAT_TERMRESPONSE),
!def(FEAT_GUI_GTK),
def(NBDEBUG),
def(MCH_WRITE_DUMP),
def(FEAT_EMACS_TAGS),
!def(INET_SOCKETS),
def(FEAT_GUI_W32),
def(PROTO),
!def(FEAT_GUI_W32),
!def(PROTO),
def(LESSTIF_VERSION),
def(INET_SOCKETS),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(FEAT_FKMAP),
def(FEAT_MBYTE),
def(FEAT_GUI_GTK),
def(FEAT_RIGHTLEFT),
def(WSDEBUG),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(FEAT_TOOLBAR),
def(WSDEBUG_TRACE),
def(FEAT_BEVAL),
def(JUMPLIST_ROTATE),
def(DEBUG),
True,
def(__BORLANDC__),
def(FEAT_GUI),
def(FEAT_SUN_WORKSHOP),
