!def(INET_SOCKETS),
def(__MINT__),
!def(FEAT_GUI_W32),
def(DEBUG),
def(FEAT_GUI_GTK),
def(FEAT_GUI),
def(FEAT_TOOLBAR),
def(WSDEBUG),
def(NBDEBUG),
def(LESSTIF_VERSION),
True,
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&(def(__MINT__)|def(HPUX_DIGRAPHS)|!def(EBCDIC))),
def(_WIN32),
def(PROTO),
def(JUMPLIST_ROTATE),
def(INET_SOCKETS),
def(FEAT_TERMRESPONSE),
(def(USE_NB_ERRORHANDLER)&def(NBDEBUG)),
def(WIN32),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&def(EBCDIC)),
def(MAIN),
(def(HPUX_DIGRAPHS)&!def(__MINT__)),
!def(FEAT_GUI_GTK),
def(FEAT_GUI_W32),
(def(USE_WS_ERRORHANDLER)&def(WSDEBUG)),
