!def(LESSTIF_VERSION),
!def(EBCDIC),
!def(FEAT_BEVAL),
def(FEAT_TERMRESPONSE),
def(JUMPLIST_ROTATE),
(!def(FEAT_BEVAL)&def(WSDEBUG_SENSE)),
def(DEBUG),
def(FEAT_MBYTE),
def(FEAT_RIGHTLEFT),
def(LESSTIF_VERSION),
def(FEAT_DND),
(!def(FEAT_BEVAL)&def(FEAT_MBYTE_IME)),
!def(FEAT_GUI_W32),
(!def(FEAT_BEVAL)&def(NOIME)),
!def(NO_CONSOLE),
def(FEAT_TOOLBAR),
(!def(FEAT_GUI_MOTIF)&!def(FEAT_GUI_GTK)&def(FEAT_GUI_W32)),
(!def(FEAT_GUI_MOTIF)&!def(FEAT_GUI_GTK)),
True,
def(FEAT_GUI_W32),
!def(RISCOS),
def(EBCDIC),
(!def(FEAT_BEVAL)&def(WSDEBUG_TRACE)),
(!def(FEAT_BEVAL)&def(FEAT_TOOLBAR)),
def(FEAT_GUI),
