!def(FEAT_GUI_GTK),
!def(INET_SOCKETS),
def(FEAT_GUI),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(PROTO),
!def(FEAT_BEVAL),
def(FEAT_GUI_GTK),
True,
def(FEAT_BEVAL),
def(DEBUG),
def(WSDEBUG_SENSE),
def(__BORLANDC__),
def(FEAT_TERMRESPONSE),
def(INET_SOCKETS),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
!def(FEAT_GUI_W32),
def(MCH_WRITE_DUMP),
def(WSDEBUG_TRACE),
def(WSDEBUG),
def(FEAT_SUN_WORKSHOP),
def(FEAT_TOOLBAR),
!def(NO_CONSOLE),
!def(PROTO),
def(FEAT_GUI_W32),
def(JUMPLIST_ROTATE),
def(LESSTIF_VERSION),
def(NBDEBUG),
