!def(PROTO),
def(NBDEBUG),
def(LESSTIF_VERSION),
def(FEAT_MBYTE),
def(FEAT_BEVAL),
def(FEAT_SUN_WORKSHOP),
def(DEBUG),
!def(NO_CONSOLE),
def(FEAT_GUI_W32),
def(FEAT_GUI_GTK),
!def(FEAT_GUI_W32),
def(FEAT_CLIPBOARD),
def(FEAT_TERMRESPONSE),
def(FEAT_TOOLBAR),
def(JUMPLIST_ROTATE),
!def(FEAT_GUI_GTK),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
True,
!def(INET_SOCKETS),
def(WSDEBUG),
def(INET_SOCKETS),
def(__BORLANDC__),
def(PROTO),
def(WSDEBUG_TRACE),
def(MCH_WRITE_DUMP),
def(WSDEBUG_SENSE),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(FEAT_GUI),
