!def(FEAT_GUI_W32),
(def(HPUX_DIGRAPHS)&!def(__MINT__)),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&def(EBCDIC)),
!def(FEAT_PROFILE),
def(DEBUG),
def(NBDEBUG),
def(PROTO),
def(WSDEBUG_SENSE),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&(def(__MINT__)|def(HPUX_DIGRAPHS)|!def(EBCDIC))),
def(WSDEBUG_TRACE),
def(LESSTIF_VERSION),
def(WSDEBUG),
def(MAIN),
def(WIN32),
def(_WIN32),
def(FEAT_GUI),
def(FEAT_PROFILE),
def(JUMPLIST_ROTATE),
def(FEAT_BEVAL),
def(FEAT_JOB_CHANNEL),
def(INET_SOCKETS),
def(FEAT_SUN_WORKSHOP),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
True,
!def(INET_SOCKETS),
def(FEAT_TOOLBAR),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
!def(FEAT_GUI_GTK),
def(FEAT_TERMRESPONSE),
def(__MINT__),
def(FEAT_GUI_W32),
