!def(FEAT_GUI_GTK),
def(__MINT__),
def(NBDEBUG),
def(FEAT_GUI_W32),
def(FEAT_JOB_CHANNEL),
def(DEBUG),
def(JUMPLIST_ROTATE),
def(WSDEBUG_TRACE),
def(FEAT_TERMRESPONSE),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(FEAT_PROFILE),
def(FEAT_BEVAL_GUI),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&(def(__MINT__)|def(HPUX_DIGRAPHS)|!def(EBCDIC))),
def(PROTO),
def(WSDEBUG_SENSE),
def(LESSTIF_VERSION),
def(INET_SOCKETS),
!def(FEAT_PROFILE),
def(MAIN),
!def(FEAT_GUI_W32),
!def(UNIX),
def(WIN32),
def(_WIN32),
(def(HPUX_DIGRAPHS)&!def(__MINT__)),
def(UNIX),
def(FEAT_TOOLBAR),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&def(EBCDIC)),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
True,
def(WSDEBUG),
!def(INET_SOCKETS),
def(FEAT_SUN_WORKSHOP),
