!def(PROTO),
def(FEAT_FKMAP),
def(NBDEBUG),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(FEAT_GUI_W32),
def(FEAT_EMACS_TAGS),
!def(INET_SOCKETS),
True,
def(WSDEBUG_TRACE),
def(FEAT_BEVAL),
def(FEAT_GUI),
def(LESSTIF_VERSION),
def(INET_SOCKETS),
def(FEAT_TOOLBAR),
def(FEAT_TERMRESPONSE),
def(FEAT_RIGHTLEFT),
def(PROTO),
def(MCH_WRITE_DUMP),
def(DEBUG),
def(__BORLANDC__),
!def(FEAT_GUI_W32),
def(WSDEBUG_SENSE),
def(FEAT_GUI_GTK),
def(JUMPLIST_ROTATE),
!def(NO_CONSOLE),
!def(FEAT_BEVAL),
def(WSDEBUG),
def(FEAT_SUN_WORKSHOP),
!def(FEAT_GUI_GTK),
def(FEAT_MBYTE),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
!def(FEAT_EMACS_TAGS),
