!def(INET_SOCKETS),
def(FEAT_TOOLBAR),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(INET_SOCKETS),
def(__BORLANDC__),
def(FEAT_GUI_W32),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
!def(FEAT_GUI_GTK),
def(DEBUG),
def(FEAT_BEVAL),
True,
def(FEAT_TERMRESPONSE),
def(PROTO),
def(LESSTIF_VERSION),
def(WSDEBUG_SENSE),
def(WSDEBUG),
def(WSDEBUG_TRACE),
!def(PROTO),
!def(FEAT_GUI_W32),
def(MAIN),
def(JUMPLIST_ROTATE),
!def(NO_CONSOLE),
def(FEAT_GUI),
def(MCH_WRITE_DUMP),
def(FEAT_SUN_WORKSHOP),
def(FEAT_GUI_GTK),
def(NBDEBUG),
